Tid [h:m:s],Värde
21:35:54,0
21:35:54,0
21:35:55,0
21:39:21,0
21:39:22,0
21:39:22,0
21:39:23,0
21:39:23,0
21:39:24,0
21:39:24,0
21:39:25,0
21:39:26,0
21:39:26,0
21:39:27,0
21:39:27,0
21:39:28,0
21:39:28,0
21:39:29,0
21:39:29,0
21:39:30,0
21:39:31,0
21:39:31,0
21:39:32,0
21:39:32,0
21:39:33,0
21:39:33,0
21:39:34,0
21:39:34,0
21:39:35,0
21:39:35,0
21:39:36,0
21:39:37,0
21:39:37,0
21:39:38,0
21:39:38,0
21:39:39,0
21:39:39,0
21:39:40,0
21:39:41,0
21:39:41,0
21:39:42,0
21:39:42,0
21:39:43,0
21:39:43,0
21:39:44,0
21:39:45,0
21:39:45,0
21:39:46,0
21:39:47,0
21:39:47,0
21:39:48,0
21:39:48,0
21:39:49,0
21:39:50,0
21:39:50,0
21:39:51,0
21:39:51,0
21:39:52,0
21:39:53,0
21:39:53,0
21:39:54,0
21:39:54,0
21:39:55,0
21:39:55,0
21:39:56,0
21:39:56,0
21:39:57,0
21:39:58,0
21:39:58,0
21:39:59,0
21:39:59,0
21:40:00,0
21:40:01,0
21:40:01,0
21:40:02,0
21:40:03,0
21:40:04,0
21:40:04,0
21:40:05,0
21:40:05,0
21:40:06,0
21:40:06,0
21:40:07,0
21:40:08,0
21:40:08,0
21:40:09,0
21:40:09,0
21:40:10,0
21:40:10,0
21:40:11,0
21:40:11,0
21:40:12,0
21:40:13,0
21:40:13,0
21:40:14,0
21:40:14,0
21:40:15,0
21:40:15,0
21:40:16,0
21:40:17,0
21:40:17,0
21:40:18,0
21:40:18,0
21:40:19,0
21:40:20,0
21:40:20,0
21:40:21,0
21:40:21,0
21:40:22,0
21:40:22,0
21:40:23,0
21:40:23,0
21:40:24,0
21:40:24,0
21:40:25,0
21:40:26,0
21:40:26,0
21:40:27,0
21:40:27,0
21:40:28,0
21:40:28,0
21:40:29,0
21:40:29,0
21:40:30,0
21:40:31,0
21:40:31,0
21:40:32,0
21:40:33,0
21:40:33,0
21:40:34,0
21:40:34,0
21:40:35,0
21:40:35,0
21:40:36,0
21:40:36,0
21:40:37,0
21:40:37,0
21:40:38,0
21:40:38,0
21:40:39,0
21:40:40,0
21:40:40,0
21:40:41,0
21:40:41,0
21:40:42,0
21:40:42,0
21:40:43,0
21:40:44,0
21:40:44,0
21:40:45,0
21:40:45,0
21:40:46,0
21:40:46,0
21:40:47,0
21:40:47,0
21:40:48,0
21:40:49,0
21:40:49,0
21:40:50,0
21:40:50,0
21:40:51,0
21:40:51,0
21:40:52,0
21:40:52,0
21:40:53,0
21:40:53,0
21:40:54,0
21:40:55,0
21:40:55,0
21:40:56,0
21:40:56,0
21:40:57,0
21:40:57,0
21:40:58,0
21:40:58,0
21:40:59,0
21:40:59,1
21:47:59,0
21:47:59,0
21:48:00,0
21:48:01,0
21:48:01,0
21:48:02,0
21:48:03,0
21:48:03,0
21:48:04,0
21:48:04,0
21:48:05,0
21:48:05,0
21:48:06,0
21:48:06,0
21:48:07,0
21:48:08,0
21:48:08,0
21:48:09,0
21:48:09,0
21:48:10,0
21:48:10,0
21:48:11,0
21:48:11,0
21:48:12,0
21:48:13,0
21:48:13,0
21:48:14,0
21:48:14,0
21:48:15,0
21:48:15,0
21:48:16,0
21:48:17,0
21:48:17,0
21:48:18,0
21:48:18,0
21:48:19,0
21:48:20,0
21:48:20,0
21:48:21,0
21:48:21,0
21:48:22,0
21:48:22,0
21:48:23,0
21:48:23,0
21:48:24,0
21:48:24,0
21:48:25,0
21:48:26,0
21:48:26,0
21:48:27,0
21:48:27,0
21:48:28,0
21:48:29,0
21:48:29,0
21:48:30,0
21:48:30,0
21:48:31,0
21:48:31,0
21:48:32,0
21:48:33,0
21:48:33,0
21:48:34,0
21:48:34,0
21:48:35,0
21:48:35,0
21:48:36,0
21:48:36,0
21:48:37,0
21:48:38,0
21:48:38,0
21:48:39,0
21:48:39,0
21:48:40,0
21:48:40,0
21:48:41,0
21:48:41,0
21:48:42,0
21:48:42,0
21:48:43,0
21:48:44,0
21:48:44,0
21:48:45,0
21:48:45,0
21:48:46,0
21:48:46,0
21:48:47,0
21:48:47,0
21:48:48,0
21:48:48,0
21:48:49,0
21:48:50,0
21:48:50,0
21:48:51,0
21:48:51,0
21:48:52,0
21:48:52,0
21:48:53,0
21:48:53,0
21:48:54,0
21:48:55,0
21:48:55,0
21:48:56,0
21:48:56,0
21:48:57,0
21:48:57,0
21:48:58,0
21:48:59,0
21:48:59,0
21:49:00,0
21:49:00,0
21:49:01,0
21:49:01,0
21:49:02,0
21:49:02,0
21:49:03,0
21:49:03,0
21:49:04,0
21:49:05,0
21:49:05,0
21:49:06,0
21:49:06,0
21:49:07,0
21:49:07,0
21:49:08,0
21:49:08,0
21:49:09,0
21:49:09,0
21:49:10,0
21:49:10,0
21:49:11,0
21:49:12,0
21:49:12,0
