Tid [h:m:s],Värde
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:52,4084
21:35:53,4084
21:35:53,4084
21:35:53,4084
21:35:53,4084
21:35:53,4084
21:35:53,4084
21:35:53,4084
21:35:53,4084
21:35:53,4084
21:35:53,4084
21:35:53,4084
21:35:53,4084
21:35:53,4084
21:35:53,4084
21:35:54,0
21:35:54,18
21:35:55,44
21:39:21,10
21:39:21,36
21:39:22,60
21:39:22,86
21:39:23,106
21:39:23,122
21:39:24,142
21:39:24,166
21:39:25,186
21:39:26,210
21:39:26,228
21:39:27,242
21:39:27,254
21:39:28,268
21:39:28,286
21:39:29,312
21:39:29,334
21:39:30,358
21:39:31,378
21:39:31,384
21:39:32,406
21:39:32,430
21:39:33,454
21:39:33,478
21:39:34,492
21:39:34,510
21:39:35,530
21:39:35,550
21:39:36,566
21:39:37,576
21:39:37,598
21:39:38,622
21:39:38,646
21:39:39,670
21:39:39,694
21:39:40,724
21:39:41,740
21:39:41,762
21:39:42,782
21:39:42,808
21:39:43,828
21:39:43,838
21:39:44,854
21:39:45,880
21:39:45,902
21:39:46,932
21:39:47,958
21:39:47,984
21:39:48,1006
21:39:48,1028
21:39:49,1046
21:39:50,1062
21:39:50,1078
21:39:51,1096
21:39:51,1116
21:39:52,1144
21:39:53,1170
21:39:53,1192
21:39:54,1218
21:39:54,1240
21:39:55,1262
21:39:55,1286
21:39:56,1308
21:39:56,1328
21:39:57,1346
21:39:58,1356
21:39:58,1382
21:39:59,1400
21:39:59,1418
21:40:00,1442
21:40:01,1464
21:40:01,1490
21:40:02,1514
21:40:02,1534
21:40:03,1562
21:40:04,1586
21:40:04,1606
21:40:05,1634
21:40:05,1652
21:40:06,1672
21:40:06,1684
21:40:07,1700
21:40:08,1716
21:40:08,1726
21:40:09,1748
21:40:09,1766
21:40:10,1778
21:40:10,1790
21:40:11,1810
21:40:11,1820
21:40:12,1838
21:40:13,1850
21:40:13,1870
21:40:14,1892
21:40:14,1912
21:40:15,1926
21:40:15,1942
21:40:16,1962
21:40:17,1986
21:40:17,2010
21:40:18,2026
21:40:18,2036
21:40:19,2058
21:40:20,2074
21:40:20,2092
21:40:21,2106
21:40:21,2120
21:40:22,2126
21:40:22,2146
21:40:23,2162
21:40:23,2174
21:40:24,2192
21:40:24,2210
21:40:25,2226
21:40:26,2238
21:40:26,2258
21:40:27,2272
21:40:27,2286
21:40:28,2294
21:40:28,2314
21:40:29,2336
21:40:29,2358
21:40:30,2382
21:40:31,2414
21:40:31,2438
21:40:32,2442
21:40:33,2456
21:40:33,2470
21:40:34,2474
21:40:34,2486
21:40:35,2500
21:40:35,2516
21:40:36,2522
21:40:36,2542
21:40:37,2556
21:40:37,2568
21:40:38,2586
21:40:38,2608
21:40:39,2630
21:40:40,2654
21:40:40,2676
21:40:41,2698
21:40:41,2716
21:40:42,2728
21:40:42,2750
21:40:43,2770
21:40:44,2778
21:40:44,2794
21:40:45,2810
21:40:45,2826
21:40:46,2836
21:40:46,2838
21:40:47,2850
21:40:47,2860
21:40:48,2876
21:40:49,2892
21:40:49,2910
21:40:50,2914
21:40:50,2928
21:40:51,2940
21:40:51,2958
21:40:52,2968
21:40:52,2984
21:40:53,2998
21:40:53,3012
21:40:54,3016
21:40:55,3034
21:40:55,3046
21:40:56,3062
21:40:56,3074
21:40:57,3096
21:40:57,3116
21:40:58,3134
21:40:58,3152
21:40:59,3168
21:40:59,3188
21:45:53,3558
21:45:53,3558
21:45:53,3558
21:45:53,3558
21:45:53,3558
21:45:53,3558
21:45:53,3558
21:45:54,3558
