Tid [h:m:s],Värde
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:54,0
21:35:54,0
21:35:55,0
21:39:21,0
21:39:21,0
21:39:22,0
21:39:22,0
21:39:23,13
21:39:23,12
21:39:24,0
21:39:24,0
21:39:25,11
21:39:26,11
21:39:26,23
21:39:27,0
21:39:27,0
21:39:28,10
21:39:28,11
21:39:29,11
21:39:29,11
21:39:30,0
21:39:31,0
21:39:31,0
21:39:32,0
21:39:32,11
21:39:33,11
21:39:33,0
21:39:34,7
21:39:34,10
21:39:35,11
21:39:35,18
21:39:36,0
21:39:37,0
21:39:37,12
21:39:38,12
21:39:38,13
21:39:39,12
21:39:39,0
21:39:40,10
21:39:41,9
21:39:41,10
21:39:42,11
21:39:42,13
21:39:43,28
21:39:43,0
21:39:44,0
21:39:45,12
21:39:45,12
21:39:46,14
21:39:47,0
21:39:47,0
21:39:48,12
21:39:48,10
21:39:49,21
21:39:50,0
21:39:50,0
21:39:51,9
21:39:51,11
21:39:52,11
21:39:53,12
21:39:53,13
21:39:54,13
21:39:54,13
21:39:55,14
21:39:55,14
21:39:56,14
21:39:56,0
21:39:57,12
21:39:58,12
21:39:58,15
21:39:59,15
21:39:59,13
21:40:00,13
21:40:01,14
21:40:01,13
21:40:02,12
21:40:02,10
21:40:03,10
21:40:04,11
21:40:04,12
21:40:05,14
21:40:05,11
21:40:06,10
21:40:06,10
21:40:07,13
21:40:08,18
21:40:08,13
21:40:09,12
21:40:09,10
21:40:10,9
21:40:10,0
21:40:11,28
21:40:11,0
21:40:12,0
21:40:13,8
21:40:13,11
21:40:14,15
21:40:14,24
21:40:15,0
21:40:15,0
21:40:16,22
21:40:17,11
21:40:17,8
21:40:18,16
21:40:18,13
21:40:19,15
21:40:20,11
21:40:20,10
21:40:21,9
21:40:21,18
21:40:22,15
21:40:22,17
21:40:23,17
21:40:23,13
21:40:24,12
21:40:24,20
21:40:25,0
21:40:26,0
21:40:26,0
21:40:27,245
21:40:27,15
21:40:28,12
21:40:28,11
21:40:29,10
21:40:29,10
21:40:30,10
21:40:31,0
21:40:31,0
21:40:32,0
21:40:33,0
21:40:33,15
