Tid [h:m:s],Värde
21:35:52,221
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:52,220
21:35:53,220
21:35:53,220
21:35:53,220
21:35:53,220
21:35:53,220
21:35:53,220
21:35:53,220
21:35:53,220
21:35:53,220
21:35:53,220
21:35:53,220
21:35:53,220
21:35:53,220
21:35:54,221
21:35:54,202
21:35:55,181
21:39:21,211
21:39:21,183
21:39:22,161
21:39:22,140
21:39:23,115
21:39:23,102
21:39:24,85
21:39:24,66
21:39:25,43
21:39:26,18
21:39:26,23
21:39:27,117
21:39:27,103
21:39:28,94
21:39:28,81
21:39:29,53
21:39:29,34
21:39:30,10
21:39:31,74
21:39:31,159
21:39:32,138
21:39:32,115
21:39:33,96
21:39:33,80
21:39:34,60
21:39:34,46
21:39:35,24
21:39:35,10
21:39:36,249
21:39:37,230
21:39:37,219
21:39:38,194
21:39:38,171
21:39:39,150
21:39:39,128
21:39:40,95
21:39:41,84
21:39:41,60
21:39:42,41
21:39:42,16
21:39:43,65
21:39:43,198
21:39:44,182
21:39:45,159
21:39:45,136
21:39:46,108
21:39:47,89
21:39:47,66
21:39:48,44
21:39:48,18
21:39:49,16
21:39:50,249
21:39:50,210
21:39:51,0
21:39:51,194
21:39:52,168
21:39:53,142
21:39:53,119
21:39:54,95
21:39:54,80
21:39:55,55
21:39:55,35
21:39:56,13
21:39:56,6
21:39:57,29
21:39:58,256
21:39:58,301
21:39:59,145
21:39:59,262
21:40:00,230
21:40:01,218
21:40:01,189
21:40:02,169
21:40:02,151
21:40:03,118
21:40:04,98
21:40:04,82
21:40:05,58
21:40:05,44
21:40:06,18
21:40:06,5
21:40:07,9
21:40:08,84
21:40:08,322
21:40:09,139
21:40:09,286
21:40:10,221
21:40:10,90
21:40:11,33
21:40:11,203
21:40:12,184
21:40:13,88
21:40:13,154
21:40:14,132
21:40:14,34
21:40:15,92
21:40:15,78
21:40:16,62
21:40:17,39
21:40:17,8
21:40:18,82
21:40:18,84
21:40:19,68
21:40:20,45
21:40:20,33
21:40:21,10
21:40:21,96
21:40:22,90
21:40:22,75
21:40:23,64
21:40:23,47
21:40:24,28
21:40:24,11
21:40:25,48
21:40:26,47
21:40:26,24
21:40:27,6
21:40:27,123
21:40:28,251
21:40:28,226
21:40:29,205
21:40:29,181
21:40:30,164
21:40:31,129
21:40:31,70
21:40:32,69
21:40:33,19
21:40:33,1
21:40:34,10
21:40:34,285
21:40:35,47
21:40:35,40
21:40:36,189
21:40:36,176
21:40:37,28
21:40:37,125
21:40:38,114
21:40:38,92
21:40:39,83
21:40:40,52
21:40:40,30
21:40:41,8
21:40:41,97
21:40:42,196
21:40:42,172
21:40:43,15
21:40:44,92
21:40:44,80
21:40:45,64
21:40:45,41
21:40:46,38
21:40:46,29
21:40:47,47
21:40:47,49
21:40:48,25
21:40:49,5
21:40:49,40
21:40:50,46
21:40:50,34
21:40:51,20
21:40:51,46
21:40:52,45
21:40:52,28
21:40:53,51
21:40:53,15
21:40:54,16
21:40:55,239
21:40:55,104
21:40:56,252
21:40:56,197
21:40:57,181
21:40:57,156
21:40:58,139
21:40:58,48
21:40:59,961
21:40:59,59
21:45:53,45
21:45:53,49
21:45:53,50
21:45:53,46
21:45:53,45
21:45:53,45
21:45:53,49
21:45:54,46
21:45:54,45
21:45:54,45
21:45:54,46
21:45:54,45
21:45:54,50
21:45:54,48
21:45:54,46
21:45:54,46
21:45:54,45
21:45:54,48
21:45:54,48
21:45:54,46
21:45:54,46
21:45:54,44
21:45:54,45
21:45:54,49
21:45:54,50
21:45:54,47
21:45:54,45
21:45:54,46
21:45:54,46
21:45:54,48
21:45:54,50
21:45:54,46
21:45:54,47
21:45:54,46
21:45:54,47
21:45:54,50
21:45:54,51
21:45:54,46
21:45:54,45
21:45:54,46
21:45:54,45
21:45:54,45
21:45:54,46
21:45:54,50
21:45:54,45
21:45:55,45
21:45:55,45
21:45:55,45
21:45:55,47
21:45:55,52
21:45:55,46
21:45:55,47
21:45:55,47
21:45:55,47
21:45:55,48
21:45:55,50
21:45:55,52
21:45:55,46
21:45:55,46
21:45:55,46
21:45:55,46
21:45:55,48
21:45:55,51
21:45:55,46
21:45:55,47
21:45:55,47
21:45:55,46
21:45:55,46
21:45:55,48
21:45:55,48
21:45:56,51
21:45:56,49
21:45:56,53
21:45:56,47
21:45:56,47
21:45:56,48
21:45:56,47
21:45:56,49
21:45:56,51
21:45:56,49
21:45:56,48
21:45:56,47
21:45:56,48
21:45:56,49
21:45:56,49
21:45:56,47
21:45:56,48
21:45:56,46
21:45:56,47
21:45:56,52
21:45:56,48
21:45:56,47
21:45:56,48
21:45:56,48
21:45:56,47
21:45:56,47
21:45:56,51
21:45:56,52
21:45:56,49
21:45:56,48
21:45:56,48
21:45:56,48
21:45:57,52
21:45:57,48
21:45:57,54
21:45:57,47
21:45:57,47
21:45:57,51
21:45:57,48
21:45:57,47
21:45:57,50
21:45:57,48
21:45:57,46
21:45:57,47
21:45:57,48
21:45:57,47
21:45:57,51
21:45:57,51
21:45:57,46
21:45:58,47
21:45:58,48
21:45:58,46
21:45:58,52
21:45:58,47
21:45:58,47
21:45:58,46
21:45:58,47
21:45:58,49
21:45:58,53
21:45:58,46
21:45:58,47
21:45:58,47
21:45:58,48
21:45:58,48
21:45:58,52
21:45:58,48
21:45:58,48
21:45:58,47
