Tid [h:m:s],Värde
21:39:22,0
21:39:23,0
21:39:24,0
21:39:25,0
21:39:26,0
21:39:27,1
21:39:28,1
21:39:29,1
21:39:30,1
21:39:31,2
21:39:32,2
21:39:33,2
21:39:34,2
21:39:35,2
21:39:37,3
21:39:38,3
21:39:38,3
21:39:39,3
21:39:40,3
21:39:41,3
21:39:43,3
21:39:43,0
21:39:45,0
21:39:46,0
21:39:47,0
21:39:48,0
21:39:49,0
21:39:50,1
21:39:51,1
21:39:52,1
21:39:53,1
21:39:54,1
21:39:55,1
21:39:56,1
21:39:58,3
21:39:59,3
21:40:00,3
21:40:01,3
21:40:03,3
21:40:04,3
21:40:05,3
21:40:06,3
21:40:08,1
21:40:09,1
21:40:10,1
21:40:11,2
21:40:13,2
21:40:14,2
21:40:15,3
21:40:17,3
21:40:17,3
21:40:18,2
21:40:20,2
21:40:21,2
21:40:22,1
21:40:23,1
21:40:24,1
21:40:26,2
21:40:27,2
21:40:28,1
21:40:29,1
21:40:30,1
21:40:31,1
21:40:32,2
21:40:34,2
21:40:36,0
21:40:37,0
21:40:38,3
21:40:39,3
21:40:40,3
21:40:41,3
21:40:42,0
21:40:43,0
21:40:44,3
21:40:45,3
21:40:50,1
21:40:51,1
21:40:52,2
21:40:52,2
21:40:54,1
21:40:56,1
21:40:57,1
21:40:58,1
21:40:59,2
21:47:59,0
21:47:59,0
21:48:00,0
21:48:02,0
21:48:03,0
21:48:04,1
21:48:05,1
21:48:06,1
21:48:06,1
21:48:08,2
21:48:09,2
21:48:10,2
21:48:11,2
21:48:12,2
21:48:13,3
21:48:14,3
21:48:15,3
21:48:17,3
21:48:17,3
21:48:18,3
21:48:20,3
21:48:21,0
21:48:22,0
21:48:23,0
21:48:24,0
21:48:24,0
21:48:26,0
21:48:27,1
21:48:28,1
21:48:29,1
21:48:30,1
21:48:31,1
21:48:32,1
21:48:33,1
21:48:35,3
21:48:36,3
21:48:37,3
21:48:39,3
21:48:39,3
21:48:40,3
21:48:41,3
21:48:42,3
21:48:44,3
21:48:46,1
21:48:47,1
21:48:48,1
21:48:49,2
21:48:50,2
21:48:51,2
21:48:52,3
21:48:53,3
21:48:53,3
21:48:55,2
21:48:56,2
21:48:58,2
21:48:59,1
21:49:01,1
21:49:02,2
21:49:03,2
21:49:04,1
21:49:05,1
21:49:06,1
21:49:07,1
