Tid [h:m:s],Värde
21:39:22,51
21:39:23,51
21:39:24,51
21:39:25,51
21:39:26,51
21:39:27,51
21:39:28,49
21:39:29,47
21:39:30,45
21:39:31,45
21:39:32,45
21:39:33,45
21:39:34,45
21:39:35,45
21:39:37,45
21:39:38,47
21:39:38,49
21:39:39,51
21:39:40,53
21:39:41,55
21:39:43,57
21:39:43,57
21:39:45,57
21:39:46,57
21:39:47,57
21:39:48,57
21:39:49,57
21:39:50,57
21:39:51,55
21:39:52,53
21:39:53,51
21:39:54,49
21:39:55,47
21:39:56,45
21:39:58,45
21:39:59,47
21:40:00,49
21:40:01,51
21:40:03,55
21:40:04,57
21:40:05,59
21:40:06,61
21:40:08,61
21:40:09,59
21:40:10,57
21:40:11,57
21:40:13,57
21:40:14,57
21:40:15,57
21:40:17,59
21:40:17,61
21:40:18,61
21:40:20,61
21:40:21,61
21:40:22,61
21:40:23,59
21:40:24,57
21:40:26,57
21:40:27,57
21:40:28,57
21:40:29,55
21:40:30,53
21:40:31,51
21:40:32,51
21:40:34,255
21:40:36,255
21:40:37,51
21:40:38,51
21:40:39,53
21:40:40,55
21:40:41,57
21:40:42,57
21:40:43,57
21:40:44,57
21:40:45,59
21:40:50,59
21:40:51,57
21:40:52,57
21:40:52,57
21:40:54,57
21:40:56,55
21:40:57,53
21:40:58,51
21:40:59,51
21:47:59,51
21:47:59,51
21:48:00,51
21:48:02,51
21:48:03,51
21:48:04,51
21:48:05,49
21:48:06,47
21:48:06,45
21:48:08,45
21:48:09,45
21:48:10,45
21:48:11,45
21:48:12,45
21:48:13,45
21:48:14,47
21:48:15,49
21:48:17,51
21:48:17,53
21:48:18,55
21:48:20,57
21:48:21,57
21:48:22,57
21:48:23,57
21:48:24,57
21:48:24,57
21:48:26,57
21:48:27,57
21:48:28,55
21:48:29,53
21:48:30,51
21:48:31,49
21:48:32,47
21:48:33,45
21:48:35,45
21:48:36,47
21:48:37,49
21:48:39,51
21:48:39,53
21:48:40,55
21:48:41,57
21:48:42,59
21:48:44,61
21:48:46,61
21:48:47,59
21:48:48,57
21:48:49,57
21:48:50,57
21:48:51,57
21:48:52,57
21:48:53,59
21:48:53,61
21:48:55,61
21:48:56,61
21:48:58,61
21:48:59,61
21:49:01,57
21:49:02,57
21:49:03,57
21:49:04,57
21:49:05,55
21:49:06,53
21:49:07,51
