Tid [h:m:s],Värde
21:39:22,1
21:39:23,3
21:39:24,5
21:39:25,7
21:39:26,9
21:39:27,9
21:39:28,9
21:39:29,9
21:39:30,9
21:39:31,9
21:39:32,7
21:39:33,5
21:39:34,3
21:39:35,1
21:39:37,1
21:39:38,1
21:39:38,1
21:39:39,1
21:39:40,1
21:39:41,1
21:39:43,1
21:39:43,1
21:39:45,3
21:39:46,5
21:39:47,7
21:39:48,9
21:39:49,11
21:39:50,11
21:39:51,11
21:39:52,11
21:39:53,11
21:39:54,11
21:39:55,11
21:39:56,11
21:39:58,11
21:39:59,11
21:40:00,11
21:40:01,11
21:40:03,11
21:40:04,11
21:40:05,11
21:40:06,11
21:40:08,11
21:40:09,11
21:40:10,11
21:40:11,11
21:40:13,9
21:40:14,7
21:40:15,7
21:40:17,7
21:40:17,7
21:40:18,7
21:40:20,5
21:40:21,3
21:40:22,3
21:40:23,3
21:40:24,3
21:40:26,3
21:40:27,1
21:40:28,1
21:40:29,1
21:40:30,1
21:40:31,1
21:40:32,1
21:40:34,255
21:40:36,255
21:40:37,1
21:40:38,1
21:40:39,1
21:40:40,1
21:40:41,1
21:40:42,1
21:40:43,3
21:40:44,3
21:40:45,3
21:40:50,3
21:40:51,3
21:40:52,3
21:40:52,1
21:40:54,1
21:40:56,1
21:40:57,1
21:40:58,1
21:40:59,1
21:47:59,1
21:47:59,3
21:48:00,5
21:48:02,7
21:48:03,9
21:48:04,9
21:48:05,9
21:48:06,9
21:48:06,9
21:48:08,9
21:48:09,7
21:48:10,5
21:48:11,3
21:48:12,1
21:48:13,1
21:48:14,1
21:48:15,1
21:48:17,1
21:48:17,1
21:48:18,1
21:48:20,1
21:48:21,1
21:48:22,3
21:48:23,5
21:48:24,7
21:48:24,9
21:48:26,11
21:48:27,11
21:48:28,11
21:48:29,11
21:48:30,11
21:48:31,11
21:48:32,11
21:48:33,11
21:48:35,11
21:48:36,11
21:48:37,11
21:48:39,11
21:48:39,11
21:48:40,11
21:48:41,11
21:48:42,11
21:48:44,11
21:48:46,11
21:48:47,11
21:48:48,11
21:48:49,11
21:48:50,9
21:48:51,7
21:48:52,7
21:48:53,7
21:48:53,7
21:48:55,7
21:48:56,5
21:48:58,3
21:48:59,3
21:49:01,3
21:49:02,3
21:49:03,1
21:49:04,1
21:49:05,1
21:49:06,1
21:49:07,1
