Tid [h:m:s],Värde
21:35:43,2
21:35:44,2
21:35:44,2
21:35:45,2
21:35:45,2
21:35:46,2
21:35:46,2
21:35:47,2
21:35:48,2
21:35:48,2
21:35:49,2
21:35:49,2
21:35:50,2
21:35:50,2
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,1
21:35:53,1
21:35:54,2
21:35:54,2
21:35:55,2
21:38:23,1
21:38:23,1
21:38:24,1
21:38:24,1
21:38:25,1
21:38:25,1
21:38:26,1
21:38:26,1
21:38:27,1
21:38:27,1
21:38:28,1
21:38:28,1
21:38:29,1
21:38:29,1
21:38:30,1
21:38:31,1
21:38:31,1
21:38:32,1
21:38:32,1
21:38:33,1
21:38:33,1
21:38:34,1
21:38:34,1
21:38:35,1
21:38:36,1
21:38:36,1
21:38:37,1
21:38:37,1
21:38:38,1
21:38:39,1
21:38:39,1
21:38:40,1
21:38:40,1
21:38:41,1
21:38:42,1
21:38:43,1
21:38:44,1
21:38:44,1
21:38:45,1
21:38:45,1
21:38:46,1
21:38:46,1
21:38:47,1
21:38:48,1
21:38:49,1
21:38:49,1
21:38:50,1
21:38:50,1
21:38:51,1
21:38:51,1
21:38:52,1
21:38:52,1
21:38:53,1
21:38:53,1
21:38:54,1
21:38:54,1
21:38:55,1
21:38:55,1
21:38:56,1
21:38:57,1
21:38:57,1
21:38:58,1
21:38:58,1
21:38:59,1
21:38:59,1
21:39:00,1
21:39:00,1
21:39:01,1
21:39:01,1
21:39:02,1
21:39:03,1
21:39:03,1
21:39:04,1
21:39:04,1
21:39:05,1
21:39:05,1
21:39:06,1
21:39:06,1
21:39:07,1
21:39:07,1
21:39:08,1
21:39:09,1
21:39:09,1
21:39:10,1
21:39:10,1
21:39:11,1
21:39:11,1
21:39:12,1
21:39:12,1
21:39:13,1
21:39:13,1
21:39:14,1
21:39:14,1
21:39:15,1
21:39:16,1
21:39:16,1
21:39:17,1
21:39:17,1
21:39:18,1
21:39:18,1
21:39:19,1
21:39:19,1
21:39:20,1
21:39:21,2
21:39:21,2
21:39:22,2
21:39:22,2
21:39:23,2
21:39:23,2
21:39:24,2
21:39:24,2
21:39:25,2
21:39:26,2
21:39:26,2
21:39:27,2
21:39:27,2
21:39:28,2
21:39:28,2
21:39:29,2
21:39:29,2
21:39:30,2
21:39:31,2
21:39:31,2
21:39:32,2
21:39:32,2
21:39:33,2
21:39:33,2
21:39:34,2
21:39:34,2
21:39:35,2
21:39:35,2
21:39:36,2
21:39:37,2
21:39:37,2
21:39:38,2
21:39:38,2
21:39:39,2
21:39:39,2
21:39:40,2
21:39:41,2
21:39:41,2
21:39:42,2
21:39:42,2
21:39:43,2
21:39:43,2
21:39:44,2
21:39:45,2
21:39:45,2
21:39:46,2
21:39:47,2
21:39:47,2
21:39:48,2
21:39:48,2
21:39:49,2
21:39:50,2
21:39:50,2
21:39:51,2
21:39:51,2
21:39:52,2
21:39:53,2
21:39:53,2
21:39:54,2
21:39:54,2
21:39:55,2
21:39:55,2
21:39:56,2
21:39:56,2
21:39:57,2
21:39:58,2
21:39:58,2
21:39:59,2
21:39:59,2
21:40:00,2
21:40:01,2
21:40:01,2
21:40:02,2
21:40:02,2
21:40:03,2
21:40:04,2
21:40:04,2
21:40:05,2
21:40:05,2
21:40:06,2
21:40:06,2
21:40:07,2
21:40:08,2
21:40:08,2
21:40:09,2
21:40:09,2
21:40:10,2
21:40:10,2
21:40:11,2
21:40:11,2
21:40:12,2
21:40:13,2
21:40:13,2
21:40:14,2
21:40:14,2
21:40:15,2
21:40:15,2
21:40:16,2
21:40:17,2
21:40:17,2
21:40:18,2
21:40:18,2
21:40:19,2
21:40:20,2
21:40:20,2
21:40:21,2
21:40:21,2
21:40:22,2
21:40:22,2
21:40:23,2
21:40:23,2
21:40:24,2
21:40:24,2
21:40:25,2
21:40:26,2
21:40:26,2
21:40:27,2
21:40:27,2
21:40:28,2
21:40:28,2
21:40:29,2
21:40:29,2
21:40:30,2
21:40:31,2
21:40:31,2
21:40:32,2
21:40:33,2
21:40:33,2
21:40:34,2
21:40:34,2
21:40:35,2
21:40:35,2
21:40:36,2
21:40:36,2
21:40:37,2
21:40:37,2
21:40:38,2
21:40:38,2
21:40:39,2
21:40:40,2
21:40:40,2
21:40:41,2
21:40:41,2
21:40:42,2
21:40:42,2
21:40:43,2
21:40:44,2
21:40:44,2
21:40:45,2
21:40:45,2
21:40:46,2
21:40:46,2
21:40:47,2
21:40:47,2
21:40:48,2
21:40:49,2
21:40:49,2
21:40:50,2
21:40:50,2
21:40:51,2
21:40:51,2
21:40:52,2
21:40:52,2
21:40:53,2
21:40:53,2
21:40:54,2
21:40:55,2
21:40:55,2
21:40:56,2
21:40:56,2
21:40:57,2
21:40:57,2
21:40:58,2
21:40:58,2
21:40:59,2
21:40:59,2
21:41:00,2
21:41:00,2
21:41:01,2
21:41:02,2
21:41:02,2
21:41:03,2
21:41:03,2
21:41:04,2
21:41:04,2
21:41:05,2
21:41:05,2
21:41:06,2
21:41:06,2
21:41:07,2
21:41:07,2
21:41:08,2
21:41:09,2
21:41:09,2
21:41:10,2
21:41:10,2
21:41:11,2
21:41:11,2
21:41:12,2
21:41:13,2
21:41:13,2
21:41:14,2
21:41:14,2
21:41:15,2
21:41:15,2
21:41:16,2
21:41:16,2
21:41:17,2
21:41:17,2
21:41:18,2
21:41:18,2
21:41:19,2
21:41:20,2
21:41:20,2
21:41:21,2
21:41:21,2
21:41:22,2
21:41:23,2
21:41:23,2
21:41:24,2
21:41:24,2
21:41:25,2
21:41:25,2
21:41:26,2
21:41:26,2
21:41:27,2
21:41:28,2
21:41:28,2
21:41:29,2
21:41:30,2
21:41:30,2
21:41:31,2
21:41:31,2
21:41:32,2
21:41:32,2
21:41:33,2
21:41:33,2
21:41:34,2
21:41:35,2
21:41:35,2
21:41:36,2
21:41:36,2
21:41:37,2
21:41:37,2
21:41:38,2
21:41:38,2
21:41:39,2
21:41:39,2
21:41:40,2
21:41:40,2
21:41:41,2
21:41:41,2
21:41:42,2
21:41:43,2
21:41:43,2
21:41:44,2
21:41:44,2
21:41:45,2
21:41:45,2
21:41:46,2
21:41:46,2
21:41:47,2
21:41:48,2
21:41:48,2
21:41:49,2
21:41:49,2
21:41:50,2
21:41:51,2
21:41:51,2
21:41:52,2
21:41:52,2
21:41:53,2
21:41:54,2
21:41:54,2
21:41:55,2
21:41:55,2
21:41:56,2
21:41:56,2
21:41:57,2
21:41:57,2
21:41:58,2
21:41:58,2
21:41:59,2
21:42:00,2
21:42:00,2
21:42:01,2
21:42:01,2
21:42:02,2
21:42:02,2
21:42:03,2
21:42:03,2
21:42:04,2
21:42:04,2
21:42:05,2
21:42:05,2
21:42:06,2
21:42:06,2
21:42:07,2
21:42:07,2
21:42:08,2
21:42:08,2
21:42:09,2
21:42:10,2
21:42:10,2
21:42:11,2
21:42:11,2
21:42:12,2
21:42:12,2
21:42:13,2
21:42:13,2
21:42:14,2
21:42:14,2
21:42:15,2
21:42:15,2
21:42:16,2
21:42:16,2
21:42:17,2
21:42:17,2
21:42:18,2
21:42:18,2
21:42:19,2
21:42:20,2
21:42:20,2
21:42:21,2
21:42:21,2
21:42:22,2
21:42:22,2
21:42:23,2
21:42:23,2
21:42:24,2
21:42:24,2
21:42:25,2
21:42:25,2
21:42:26,2
21:42:26,2
21:42:27,2
21:42:28,2
21:42:28,2
21:42:29,2
21:42:29,2
21:42:30,2
21:42:30,2
21:42:31,2
21:42:32,2
21:42:33,2
21:42:33,2
21:42:34,2
21:42:34,2
21:42:35,2
21:42:35,2
