Tid [h:m:s],Värde
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:52,31
21:35:53,31
21:35:53,31
21:35:53,31
21:35:53,31
21:35:53,31
21:35:53,31
21:35:53,31
21:35:53,31
21:35:53,31
21:35:53,31
21:35:53,31
21:35:53,31
21:35:53,31
21:35:54,31
21:35:54,8
21:35:55,8
21:39:21,6
21:39:21,8
21:39:22,8
21:39:22,0
21:39:23,0
21:39:23,0
21:39:24,0
21:39:24,0
21:39:25,0
21:39:26,0
21:39:26,0
21:39:27,0
21:39:27,0
21:39:28,0
21:39:28,0
21:39:29,0
21:39:29,0
21:39:30,0
21:39:31,0
21:39:31,0
21:39:32,0
21:39:32,0
21:39:33,0
21:39:33,0
21:39:34,0
21:39:34,0
21:39:35,0
21:39:35,0
21:39:36,0
21:39:37,0
21:39:37,0
21:39:38,0
21:39:38,0
21:39:39,0
21:39:39,0
21:39:40,0
21:39:41,0
21:39:41,0
21:39:42,8
21:39:42,8
21:39:43,8
21:39:43,8
21:39:44,8
21:39:45,8
21:39:45,8
21:39:46,8
21:39:47,8
21:39:47,8
21:39:48,8
21:39:48,8
21:39:49,8
21:39:50,8
21:39:50,8
21:39:51,8
21:39:51,8
21:39:52,8
21:39:53,8
21:39:53,8
21:39:54,8
21:39:54,8
21:39:55,8
21:39:55,8
21:39:56,8
21:39:56,0
21:39:57,0
21:39:58,0
21:39:58,0
21:39:59,0
21:39:59,0
21:40:00,0
21:40:01,8
21:40:01,0
21:40:02,8
21:40:02,8
21:40:03,8
21:40:04,8
21:40:04,8
21:40:05,8
21:40:05,8
21:40:06,8
21:40:06,8
21:40:07,8
21:40:08,8
21:40:08,8
21:40:09,8
21:40:09,8
21:40:10,8
21:40:10,8
21:40:11,8
21:40:11,8
21:40:12,8
21:40:13,8
21:40:13,8
21:40:14,8
21:40:14,8
21:40:15,8
21:40:15,8
21:40:16,8
21:40:17,8
21:40:17,8
21:40:18,8
21:40:18,8
21:40:19,8
21:40:20,0
21:40:20,0
21:40:21,0
21:40:21,31
21:40:22,0
21:40:22,0
21:40:23,0
21:40:23,0
21:40:24,8
21:40:24,8
21:40:25,8
21:40:26,8
21:40:26,8
21:40:27,8
21:40:27,8
21:40:28,8
21:40:28,8
21:40:29,8
21:40:29,8
21:40:30,8
21:40:31,8
21:40:31,0
21:40:32,0
21:40:33,0
21:40:33,0
21:40:34,0
21:40:34,0
21:40:35,0
21:40:35,0
21:40:36,0
21:40:36,0
21:40:37,0
21:40:37,0
21:40:38,0
21:40:38,0
21:40:39,0
21:40:40,0
21:40:40,0
21:40:41,0
21:40:41,8
21:40:42,8
21:40:42,8
21:40:43,8
21:40:44,8
21:40:44,8
21:40:45,8
21:40:45,8
21:40:46,8
21:40:46,4
21:40:47,8
21:40:47,8
21:40:48,8
21:40:49,8
21:40:49,8
21:40:50,8
21:40:50,8
21:40:51,8
21:40:51,8
21:40:52,8
21:40:52,8
21:40:53,8
