Tid [h:m:s],Värde
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:52,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:53,0
21:35:54,0
21:35:54,12
21:35:55,0
21:39:21,0
21:39:21,13
21:39:22,0
21:39:22,13
21:39:23,14
21:39:23,14
21:39:24,12
21:39:24,0
21:39:25,0
21:39:26,16
21:39:26,19
21:39:27,16
21:39:27,16
21:39:28,13
21:39:28,11
21:39:29,11
21:39:29,11
21:39:30,13
21:39:31,11
21:39:31,11
21:39:32,10
21:39:32,10
21:39:33,11
21:39:33,13
21:39:34,11
21:39:34,11
21:39:35,12
21:39:35,17
21:39:36,13
21:39:37,12
21:39:37,12
21:39:38,12
21:39:38,11
21:39:39,0
21:39:39,0
21:39:40,12
21:39:41,11
21:39:41,10
21:39:42,10
21:39:42,12
21:39:43,13
21:39:43,13
21:39:44,0
21:39:45,0
21:39:45,15
21:39:46,13
21:39:47,0
21:39:47,11
21:39:48,12
21:39:48,0
21:39:49,21
21:39:50,14
21:39:50,13
21:39:51,11
21:39:51,11
21:39:52,11
21:39:53,12
21:39:53,12
21:39:54,13
21:39:54,14
21:39:55,13
21:39:55,12
21:39:56,13
21:39:56,13
21:39:57,12
21:39:58,12
21:39:58,11
21:39:59,13
21:39:59,15
21:40:00,12
21:40:01,12
21:40:01,11
21:40:02,13
21:40:02,13
21:40:03,11
21:40:04,0
21:40:04,0
21:40:05,11
21:40:05,11
21:40:06,12
21:40:06,12
21:40:07,0
21:40:08,13
21:40:08,10
21:40:09,11
21:40:09,12
21:40:10,11
21:40:10,9
21:40:11,22
21:40:11,0
21:40:12,15
21:40:13,12
21:40:13,12
21:40:14,0
21:40:14,17
21:40:15,0
21:40:15,0
21:40:16,9
21:40:17,9
21:40:17,0
21:40:18,0
21:40:18,0
21:40:19,10
21:40:20,12
21:40:20,0
21:40:21,0
21:40:21,0
21:40:22,0
21:40:22,7
21:40:23,12
21:40:23,12
21:40:24,0
21:40:24,0
21:40:25,14
21:40:26,16
21:40:26,0
21:40:27,0
21:40:27,0
21:40:28,0
21:40:28,11
21:40:29,11
21:40:29,11
21:40:30,10
21:40:31,0
21:40:31,0
21:40:32,0
21:40:33,0
21:40:33,0
