Tid [h:m:s],Värde
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:52,356
21:35:53,356
21:35:53,356
21:35:53,356
21:35:53,356
21:35:53,356
21:35:53,356
21:35:53,356
21:35:53,356
21:35:53,356
21:35:53,356
21:35:53,356
21:35:53,356
21:35:53,356
21:35:54,0
21:35:54,360
21:35:55,360
21:39:21,360
21:39:21,360
21:39:22,359
21:39:22,4
21:39:23,359
21:39:23,357
21:39:24,356
21:39:24,357
21:39:25,357
21:39:26,359
21:39:26,33
21:39:27,95
21:39:27,86
21:39:28,76
21:39:28,85
21:39:29,90
21:39:29,90
21:39:30,98
21:39:31,156
21:39:31,181
21:39:32,182
21:39:32,180
21:39:33,180
21:39:33,180
21:39:34,168
21:39:34,180
21:39:35,178
21:39:35,206
21:39:36,272
21:39:37,269
21:39:37,270
21:39:38,270
21:39:38,271
21:39:39,270
21:39:39,271
21:39:40,270
21:39:41,268
21:39:41,268
21:39:42,270
21:39:42,270
21:39:43,315
21:39:43,2
21:39:44,1
21:39:45,360
21:39:45,357
21:39:46,358
21:39:47,360
21:39:47,1
21:39:48,360
21:39:48,355
21:39:49,22
21:39:50,91
21:39:50,88
21:39:51,82
21:39:51,90
21:39:52,90
21:39:53,90
21:39:53,90
21:39:54,90
21:39:54,90
21:39:55,90
21:39:55,90
21:39:56,99
21:39:56,156
21:39:57,234
21:39:58,276
21:39:58,277
21:39:59,272
21:39:59,268
21:40:00,270
21:40:01,272
21:40:01,270
21:40:02,270
21:40:02,270
21:40:03,268
21:40:04,269
21:40:04,269
21:40:05,278
21:40:05,270
21:40:06,269
21:40:06,236
21:40:07,169
21:40:08,119
21:40:08,91
21:40:09,91
21:40:09,90
21:40:10,89
21:40:10,0
21:40:11,126
21:40:11,183
21:40:12,181
21:40:13,170
21:40:13,179
21:40:14,179
21:40:14,216
21:40:15,274
21:40:15,270
21:40:16,283
21:40:17,270
21:40:17,262
21:40:18,195
21:40:18,177
21:40:19,184
21:40:20,181
21:40:20,178
21:40:21,172
21:40:21,109
21:40:22,89
21:40:22,91
21:40:23,108
21:40:23,94
21:40:24,91
21:40:24,96
21:40:25,163
21:40:26,181
21:40:26,180
21:40:27,151
21:40:27,104
21:40:28,88
21:40:28,86
21:40:29,90
21:40:29,90
21:40:30,90
21:40:31,90
21:40:31,173
21:40:32,181
21:40:33,181
21:40:33,180
21:40:34,180
21:40:34,152
21:40:35,85
21:40:35,20
21:40:36,357
21:40:36,356
21:40:37,333
21:40:37,273
21:40:38,268
21:40:38,270
21:40:39,270
21:40:40,270
21:40:40,270
21:40:41,284
21:40:41,339
21:40:42,359
21:40:42,360
21:40:43,312
21:40:44,270
21:40:44,269
21:40:45,255
21:40:45,270
21:40:46,270
21:40:46,256
21:40:47,269
21:40:47,269
21:40:48,243
21:40:49,178
21:40:49,112
21:40:50,88
21:40:50,107
21:40:51,101
21:40:51,158
21:40:52,180
21:40:52,176
21:40:53,140
21:40:53,100
21:40:54,84
21:40:55,92
21:40:55,81
21:40:56,104
21:40:56,90
21:40:57,90
21:40:57,90
21:40:58,86
21:40:58,116
21:40:59,171
21:40:59,180
21:45:53,71
21:45:53,71
21:45:53,71
